processed_word,count
Росс,11
Москв,8
Нов,5
Фелан,4
Мерц,4
Ян,4
Ферстаппен,3
Келлог,3
Бенин,3
Кит,3
Ран,3
Снег,3
Норрис,3
Евросоюз,3
Макрон,3
Петер,2
Верховног,2
Арм,2
Дмитр,2
Ровн,2
Маск,2
Кучеровк,2
Словак,2
Патрис,2
Новосибрск,2
Путин,2
Петр,2
Таиланд,2
Подобн,2
Пиастр,2
Собак,2
Девушк,2
Трамп,2
Челябинск,2
Министр,2
Украин,2
Израиль,2
Франц,2
Власт,2
Дональд,2
Харьковск,2
Вашингтон,2
Топор,2
Герман,2
Жител,2
Согласн,2
Препарат,2
Народн,2
Илон,2
Российск,2
Сир,2
Иркутск,2
Сильн,2
Венгр,2
